year,month,n,s
2010,1,288,223
2010,2,331,178
2010,3,352,146
2010,4,145,67
2010,5,189,149
2010,6,161,229
2010,7,186,325
2010,8,593,84
2010,9,448,262
2010,10,300,242
2010,11,452,239
2010,12,499,38
2011,1,509,226
2011,2,552,413
2011,3,1278,655
2011,4,1369,276
2011,5,521,372
2011,6,537,365
2011,7,695,337
2011,8,1029,183
2011,9,1617,496
2011,10,1716,631
2011,11,1519,725
2011,12,1036,1118
2012,1,1056,524
2012,2,563,146
2012,3,724,635
2012,4,572,612
2012,5,922,699
2012,6,717,1070
2012,7,339,1336
2012,8,1124,1116
2012,9,718,895
2012,10,655,765
2012,11,938,654
2012,12,766,278
2013,1,1475,725
2013,2,651,330
2013,3,782,641
2013,4,1002,921
2013,5,1118,1176
2013,6,342,546
2013,7,440,1143
2013,8,582,1048
2013,9,371,406
2013,10,583,1257
2013,11,507,1417
2013,12,215,1479
2014,1,593,1689
2014,2,512,1899
2014,3,658,1179
2014,4,720,871
2014,5,758,1521
2014,6,531,921
2014,7,487,924
2014,8,600,806
2014,9,757,1444
2014,10,284,1155
2014,11,691,913
2014,12,562,1321
2015,1,567,1265
2015,2,711,390
2015,3,478,622
2015,4,659,394
2015,5,651,857
2015,6,755,384
2015,7,411,424
2015,8,462,621
2015,9,491,637
2015,10,580,578
2015,11,758,101
2015,12,472,533
2016,1,616,272
2016,2,603,277
2016,3,590,181
2016,4,426,151
2016,5,484,265
2016,6,173,98
2016,7,487,79
2016,8,327,88
2016,9,263,45
2016,10,381,171
2016,11,237,12
2016,12,93,143
2017,1,486,15
2017,2,329,25
2017,3,142,47
2017,4,300,234
2017,5,228,88
2017,6,353,0
2017,7,53,317
2017,8,482,167
2017,9,460,403
2017,10,93,96
2017,11,51,44
2017,12,135,0
2018,1,14,25
2018,2,0,209
2018,3,0,0
2018,4,91,0
2018,5,60,24
2018,6,239,0
2018,7,0,0
2018,8,61,39
2018,9,0,0
2018,10,0,32
2018,11,58,0
2018,12,0,14
2019,5,0,0
2019,6,0,0
2019,7,0,0
2019,8,0,0
2019,9,0,0
2019,10,0,0
2019,11,0,0
2019,12,0,0
