Kandilli Observatory

                            FLARE INDEX OF SOLAR ACTIVITY

                                      FULL DISK

2022

--------------------------------------------------------------------------------
Day   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
================================================================================
1	0.73	0.06	0.60	1.06	0.58	2.48	0.63	0.00	0.00	0.00	0.00	0.00
2	0.00	1.23	2.92	8.33	0.00	5.73	0.00	0.00	0.00	0.00	0.00	0.00
3	0.00	0.52	0.02	0.60	1.42	0.00	0.40	0.00	0.00	0.00	0.00	0.00
4	0.00	0.75	0.67	0.00	29.31	0.00	0.92	0.00	0.00	0.00	0.00	0.00
5	0.00	0.17	1.81	0.35	5.56	0.00	2.15	0.00	0.00	0.00	0.00	0.00
6	1.02	2.27	0.69	0.23	0.25	0.13	0.60	0.00	0.00	0.00	0.00	0.00
7	0.50	0.79	0.23	0.52	0.27	0.15	1.15	0.00	0.00	0.00	0.00	0.00
8	0.27	0.56	0.33	1.42	0.40	0.00	1.10	0.00	0.00	0.00	0.00	0.00
9	0.00	2.23	0.00	0.00	0.81	0.10	2.42	0.00	0.00	0.00	0.00	0.00
10	0.00	0.90	0.00	0.00	9.17	1.90	9.42	0.00	0.00	0.00	0.00	0.00
11	0.27	0.56	0.63	1.23	12.38	0.00	12.54	0.00	0.00	0.00	0.00	0.00
12	0.00	0.75	0.00	0.00	4.21	0.00	3.10	0.00	0.00	0.00	0.00	0.00
13	0.15	0.56	0.40	0.00	1.27	14.13	3.79	0.00	0.00	0.00	0.00	0.00
14	3.31	1.23	0.75	0.00	4.48	4.38	9.42	0.00	0.00	0.00	0.00	0.00
15	3.63	0.77	2.50	0.00	0.17	0.79	7.90	0.00	0.00	0.00	0.00	0.00
16	2.77	0.00	0.00	0.00	1.60	0.77	1.96	0.00	0.00	0.00	0.00	0.00
17	1.21	0.33	0.00	1.19	0.35	6.67	0.00	0.00	0.00	0.00	0.00	0.00
18	1.73	0.46	0.00	2.06	2.98	1.96	0.00	0.00	0.00	0.00	0.00	0.00
19	0.00	0.00	0.29	0.40	10.69	11.75	0.00	0.00	0.00	0.00	0.00	0.00
20	1.29	0.00	0.96	7.48	4.19	13.58	0.00	0.00	0.00	0.00	0.00	0.00
21	0.00	0.00	0.00	3.98	1.63	4.46	0.00	0.00	0.00	0.00	0.00	0.00
22	0.00	0.00	0.00	2.08	1.19	5.10	0.00	0.00	0.00	0.00	0.00	0.00
23	0.00	0.25	1.63	1.73	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24	0.00	0.19	0.40	0.75	1.29	1.48	0.00	0.00	0.00	0.00	0.00	0.00
25	0.00	0.00	2.25	2.65	2.77	2.69	0.00	0.00	0.00	0.00	0.00	0.00
26	0.00	0.00	0.00	2.88	0.96	3.15	0.00	0.00	0.00	0.00	0.00	0.00
27	0.83	0.33	0.06	29.98	1.21	0.83	0.00	0.00	0.00	0.00	0.00	0.00
28	2.21	0.42	0.63	0.65	0.17	0.31	0.00	0.00	0.00	0.00	0.00	0.00
29	5.63		37.17	1.96	1.31	0.21	0.00	0.00	0.00	0.00	0.00	0.00
30	1.23		0.48	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31	2.98		3.38		0.00		0.00	0.00		0.00		0.00
--------------------------------------------------------------------------------
Mean	0.96	0.55	1.90	2.38	3.27	2.76	1.85	0.00	0.00	0.00	0.00	0.00
--------------------------------------------------------------------------------
Yearly Mean =	1.14
