date,no,lat,lon,num
2023/4/28,1,-13~-23,-7~-18,11
,2,8~9,-5~0,3
,3,8~10,48,3
,4,3,53,1
2023/7/16,1,-9,48,1
,2,4~9,43~51,5
,3,20~24,27~31,5
,4,21,17,1
,5,-16,4,1
,6,16~17,-21~-23,3
,7,12,-29,1
,8,-20~-24,-45~-50,4
2023/5/4,1,-21,40~43,2
,2,-13,55,1
,3,0~4,57~66,6
,4,6~12,28~48,10
,5,19~23,-29~-30,2
2023/5/3,1,-16~-25,-70~-90,4
,2,15~21,-13~-23,7
,3,7~13,43~63,8
,4,5,80,1
,5,-10,70,1
2023/5/2,1,-7,67,1
,2,12~17,51~57,4
,3,18~23,-7~-12,6
,4,-15~-27,-54~-70,11
2023/5/1,1,-17~-24,-36~-54,7
,2,19~24,5~9,4
,3,14~18,70~80,3
2023/4/29,1,7~9,-14~-19,3
,2,-17~-26,-12~-26,11
,3,15~22,34~42,6
2023/11/1,1,S18~20,W13~20,2
2023/11/3,1,S16~20,W37~46,18
,2,N19~21,W43~54,4
,3,N16~17,W21~27,5
,4,N12~14,W14~23,3
,5,S22~25,E2~4,4
,6,N11~12,E7~11,3
,7,S14~19,E50~81,16
,8,N11~27,E54~73,3
2023/11/4,1,S8~9,E61~68,4
,2,S13~15,E36~49,4
,3,N19~22,W63~70,6
,4,S18~19,W51~60,3
2023/11/5,1,S19,W80,1
,2,N22,W76,1
,3,N18~20,W14~17,4
,4,S16~18,E22~27,6
,5,S13~14,E47~56,4
,6,N8,E27,1
2023/11/8,1,N8~11,W64~69,3
,2,S16~21,W3~17,5
,3,S10~12,E5~6,2
,4,N5~8,W6~13,8
,5,N4,E60,1
2023/11/9,1,S12~17,W30~33,5
,2,S12~19,W5~10,4
,3,N6,W15~22,5
,4,N21,W14~17,2
2023/11/11,1,ND,ND,1
,2,S39~40,W1~E5,2
,3,S18,W28,1
,4,N6~10,W35~44,12
,5,S16~18,W49~55,5
2023/11/13,1,N7~10,W65~70,2
,2,S14~15,W65~70,2
,3,S18~19,W50~58,2
,4,S7~10,W8~13,3
2023/11/20,1,N19~23,E62~80,7
,2,N15~18,E60~80,5
,3,N7,E69,1
,4,S17~20,E42~48,8
2023/11/21,1,S14~19,E70~74,2
,2,N24,E56,1
,3,N15~21,E46~68,12
,4,N9,E56,1
,5,S14~18,E26~32,4
2023/11/22,1,S9~14,W24~29,7
,2,S14~18,E13~21,10
,3,S14~18,E57~64,4
,4,N7~8,E42~44,2
,5,N12~20,E35~57,25
,6,N22~24,E46,2
